i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
785,S804,0.3595,0.3823,0.2582,0.5818,5077,5,0.5720701201496947,0.5692337994878865,0.5747488674414024,0.5721333463789232,0.5626176138845805,0.5821274015404396,0.005515067953515862,0.01950978765585909
786,S805,0.0053,0.3251,0.6696,0.8391,5703,5,0.26736805190250745,0.2652989654567771,0.26933193056286164,0.26736297915789925,0.26136965584016736,0.27363758804867777,0.0040329651060845295,0.012267932208510413
787,S806,0.3359,0.2968,0.3673,0.4086,5241,5,0.4546842205685938,0.44876931883228394,0.4575462697958405,0.45475685326811083,0.4464333414682371,0.4632661825492701,0.008776950963556573,0.016832841081033
788,S807,0.3908,0.427,0.1822,0.9214,3679,5,0.7824952432726284,0.7801032889372111,0.7855395487904322,0.7824724861453717,0.7693978033327854,0.7948491383719338,0.005436259853221048,0.025451335039148426
789,S808,0.2725,0.3738,0.3537,0.9793,2386,5,0.6534786253143336,0.6500419111483655,0.6550712489522212,0.6535674223842801,0.6397260688075278,0.6688266345266615,0.005029337803855727,0.029100565719133664
790,S809,0.3941,0.0669,0.5389,0.0908,5210,5,0.395700575815739,0.39539347408829173,0.3961612284069098,0.39578604839203274,0.3877737284312093,0.40329593964040444,7.677543186180857e-4,0.01552221120919517
791,S81,0.0967,0.8023,0.1011,0.1057,1995,5,0.17684210526315788,0.17142857142857143,0.18145363408521303,0.17691691420922076,0.1683219627099709,0.1852945950386654,0.010025062656641603,0.016972632328694504
792,S810,0.5863,0.3008,0.1128,0.0596,6816,5,0.6026408450704225,0.6013791079812206,0.6044600938967136,0.6026756580857277,0.5945726135165531,0.6110933615580472,0.0030809859154929953,0.01652074804149406
793,S811,0.1707,0.4117,0.4175,0.7189,6075,5,0.46100411522633744,0.4589300411522634,0.4630452674897119,0.46105456530824795,0.4534071485505661,0.468533789581532,0.004115226337448541,0.015126641030965948
794,S812,0.6384,0.0249,0.3366,0.3963,7354,5,0.6408757138971988,0.6400598313842807,0.6412836551536579,0.6409858876601238,0.632689468312356,0.6491949282826024,0.0012238237693772414,0.01650545997024644
